 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (50.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.01%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.00%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2132306.0;0.0319;66889789.0;126.845;54.0;0.102;0.0;0.0;1881685553.0;3.568;2526618540.0;1.34;515.0;0.977;881675726.0;0.4686;22356647.0;0.011899999999999999;527.336735;1.0;0.527226723
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2123919.0;0.0318;66727504.0;126.875;52.0;0.099;0.0;0.0;1868269837.0;3.552;2534876466.0;1.36;517.0;0.983;885612659.0;0.474;21921355.0;0.011699999999999999;525.930693;1.0;0.526160664
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2131906.0;0.0319;66908379.0;126.74;54.0;0.102;0.0;0.0;1881871797.0;3.565;2517907601.0;1.34;519.0;0.983;883930636.0;0.4697;22032442.0;0.011699999999999999;527.919333;0.999;0.528348639
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2128792.0;0.0316;67351038.0;127.678;52.0;0.099;0.0;0.0;1877343243.0;3.559;2530129587.0;1.35;520.0;0.986;880410516.0;0.469;21680453.0;0.0115;527.50558;1.0;0.527690798
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2132594.0;0.0316;67402807.0;127.825;53.0;0.101;0.0;0.0;1877469090.0;3.561;2528657336.0;1.35;517.0;0.98;880050933.0;0.46869999999999995;21924207.0;0.011699999999999999;527.303438;1.0;0.527534637
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2136239.0;0.0319;66986148.0;126.957;54.0;0.102;0.0;0.0;1881907937.0;3.567;2520936756.0;1.34;517.0;0.98;881744267.0;0.4685;21712135.0;0.0115;527.627581;1.0;0.527805982
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2169970.0;0.0323;67168106.0;127.74;55.0;0.105;0.0;0.0;1870090860.0;3.557;2530640850.0;1.35;517.0;0.983;882898770.0;0.4721;21619259.0;0.0116;525.81784;1.0;0.526051599
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2142573.0;0.0317;67606306.0;128.799;56.0;0.107;0.0;0.0;1880297783.0;3.582;2527281853.0;1.34;517.0;0.985;891228216.0;0.474;21314296.0;0.0113;524.899504;1.0;0.525086012
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2133733.0;0.0317;67362009.0;127.776;53.0;0.101;0.0;0.0;1879001134.0;3.564;2526890023.0;1.34;519.0;0.984;881041580.0;0.4689;21857930.0;0.0116;527.190244;1.0;0.527403468
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 40 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;40;0.0;1000000;2129666.0;0.032;66492680.0;126.331;55.0;0.104;0.0;0.0;1882554469.0;3.577;2533429745.0;1.35;520.0;0.988;889182078.0;0.47229999999999994;22056878.0;0.011699999999999999;526.33885;1.0;0.526174866
