 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (72.30%))";"branches";"branches (M/sec                    (86.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (85.73%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (72.35%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (86.18%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;490145.0;0.0233;21076213.0;962.263;0.0;0.0;0.0;0.0;58542429.0;2.673;113161914.0;1.93;121.0;0.006;9007705.0;0.1539;15578908.0;0.2661;21.90276;0.992;0.022080472
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;480661.0;0.0229;21028405.0;939.727;0.0;0.0;0.0;0.0;58542049.0;2.616;112924943.0;1.93;123.0;0.005;9302573.0;0.1589;16897043.0;0.28859999999999997;22.37714;0.992;0.022559111
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;428857.0;0.0204;21010138.0;967.411;0.0;0.0;0.0;0.0;58543849.0;2.696;112597948.0;1.92;127.0;0.006;8568197.0;0.1464;15867421.0;0.271;21.717894;0.992;0.021891244
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;432922.0;0.0152;28484674.0;1060.139;0.0;0.0;0.0;0.0;74817911.0;2.785;152248117.0;2.03;127.0;0.005;9238831.0;0.1235;16159599.0;0.21600000000000003;26.8688;0.994;0.027042449
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;503059.0;0.0176;28523903.0;1036.583;0.0;0.0;0.0;0.0;76609763.0;2.784;152272902.0;1.99;127.0;0.005;9635398.0;0.1258;18508171.0;0.2416;27.517238;0.994;0.027691041
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;445019.0;0.015600000000000001;28502066.0;1055.4;0.0;0.0;0.0;0.0;75202595.0;2.785;152189619.0;2.02;126.0;0.005;9211142.0;0.1225;16084806.0;0.2139;27.00593;0.994;0.027174502
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;454559.0;0.016;28471494.0;1057.304;0.0;0.0;0.0;0.0;74987877.0;2.785;152038444.0;2.03;126.0;0.005;9196831.0;0.1226;15639894.0;0.2086;26.92838;0.994;0.027097043
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;518080.0;0.0182;28512524.0;1032.631;0.0;0.0;0.0;0.0;76874365.0;2.784;152231284.0;1.98;127.0;0.005;9752925.0;0.12689999999999999;18373832.0;0.239;27.611539;0.994;0.02778685
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;511044.0;0.0179;28517667.0;1039.247;0.0;0.0;1.0;0.036;76400211.0;2.784;152246591.0;1.99;127.0;0.005;9593176.0;0.12560000000000002;18183303.0;0.23800000000000002;27.440699;0.994;0.027600241
"./build/Benchmark/adevs_devstone classic  -w 3 -d 1 -t 4000000";"adevs_devstone";3;1;4000000;446320.0;0.015700000000000002;28500369.0;1053.656;0.0;0.0;0.0;0.0;75302092.0;2.784;152155367.0;2.02;126.0;0.005;9162637.0;0.1217;17928781.0;0.23809999999999998;27.049014;0.994;0.027206842
