 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10996555.0;0.016;688820199.0;646.042;48.0;0.045;8061.0;0.008;2617967945.0;2.455;2862769960.0;1.09;140.0;0.131;676752690.0;0.2585;1181663591.0;0.4514;1066.215877;1.076;0.991181349
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13836939.0;0.0191;724377050.0;702.951;67.0;0.065;8008.0;0.008;2732874106.0;2.652;3015283559.0;1.1;137.0;0.133;710004419.0;0.25980000000000003;1214736843.0;0.4445;1030.480068;1.066;0.966479558
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11223301.0;0.0161;695630743.0;702.04;42.0;0.042;8064.0;0.008;2623807610.0;2.648;2850777152.0;1.09;140.0;0.141;669877867.0;0.2553;1177824770.0;0.4489;990.8701;1.073;0.92321459
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;12862582.0;0.0182;705624730.0;714.657;58.0;0.059;8028.0;0.008;2694413784.0;2.729;2903490072.0;1.08;138.0;0.14;719937520.0;0.2672;1238911432.0;0.4598;987.360896;1.069;0.9234705
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10579037.0;0.015300000000000001;690899576.0;668.796;52.0;0.05;8067.0;0.008;2626477486.0;2.542;2832418196.0;1.08;140.0;0.136;684767873.0;0.2607;1190300436.0;0.4532;1033.049935;1.077;0.959525343
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11154146.0;0.016;697172593.0;663.464;45.0;0.043;8058.0;0.008;2604640546.0;2.479;2842946464.0;1.09;140.0;0.133;682447546.0;0.262;1201233180.0;0.4612;1050.806743;1.075;0.977709137
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;15694140.0;0.0217;724808997.0;704.267;48.0;0.047;8016.0;0.008;2747194264.0;2.669;3010299456.0;1.1;139.0;0.135;708922974.0;0.2581;1203809977.0;0.4382;1029.168173;1.069;0.96298627
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10591212.0;0.0155;684037792.0;685.45;48.0;0.048;8077.0;0.008;2579240819.0;2.585;2785473353.0;1.08;140.0;0.14;667439810.0;0.2588;1194419232.0;0.4631;997.939643;1.074;0.929073459
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;12716149.0;0.0182;699859400.0;744.696;58.0;0.062;8016.0;0.009;2627182445.0;2.795;2885497377.0;1.1;138.0;0.147;682953688.0;0.26;1179838568.0;0.44909999999999994;939.792087;1.069;0.879441093
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10509069.0;0.0154;683670129.0;723.898;38.0;0.04;8021.0;0.008;2572846975.0;2.724;2806329194.0;1.09;138.0;0.146;647487444.0;0.25170000000000003;1158622327.0;0.45030000000000003;944.428932;1.072;0.881001859
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;10659648.0;0.0154;693572124.0;641.581;44.0;0.041;8032.0;0.007;2591866236.0;2.398;2826613193.0;1.09;138.0;0.128;652090642.0;0.2516;1165212480.0;0.4496;1081.035245;1.076;1.004617921
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14528401.0;0.0202;721011035.0;696.204;55.0;0.053;8067.0;0.008;2711527263.0;2.618;2989592416.0;1.1;138.0;0.133;701663533.0;0.2588;1194609826.0;0.44060000000000005;1035.632376;1.069;0.968915262
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11850335.0;0.0172;688663015.0;690.667;54.0;0.054;8055.0;0.008;2596643385.0;2.604;2815528965.0;1.08;139.0;0.139;661892339.0;0.25489999999999996;1177079219.0;0.4533;997.098927;1.075;0.927179603
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;11653007.0;0.017;685669110.0;709.154;59.0;0.061;8099.0;0.008;2629097684.0;2.719;2787606220.0;1.06;139.0;0.144;679849094.0;0.2586;1197610834.0;0.45549999999999996;966.882835;1.062;0.910257524
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;14989737.0;0.0209;717230223.0;655.385;48.0;0.044;8061.0;0.007;2739882843.0;2.504;3004026027.0;1.1;139.0;0.127;726898835.0;0.26530000000000004;1217173516.0;0.44420000000000004;1094.365253;1.071;1.021623241
"./build/Benchmark/dxexmachina_devstone classic  -w 4 -d 1 -t 4000000";"dxexmachina_devstone";4;1;4000000;13495007.0;0.0187;722375081.0;707.641;51.0;0.05;8006.0;0.008;2719873391.0;2.664;3000835376.0;1.1;140.0;0.137;698251292.0;0.25670000000000004;1208052998.0;0.44420000000000004;1020.82072;1.071;0.953368324
